scenario,implementation,item_count,sample_count,min_ms,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,median_items_per_second
startup_empty,python,0,100,106.915051,162.77581807,118.62071549999999,306.718009,366.159093,372.596478,0.0
startup_empty,rust,0,100,5.192738,8.91787136,6.950905,18.432944,26.491017,31.140215,0.0
default_1000,python,1000,100,109.897187,146.21209936,115.69609249999999,250.174556,283.28383,454.558484,8643.334259538628
default_1000,rust,1000,100,7.835298,11.24466831,9.2622945,22.87117,27.890863,28.155649,107964.60855352851
float_1000,python,1000,50,114.468917,146.60433238,126.72464199999999,250.719596,379.479405,379.479405,7891.125074158821
float_1000,rust,1000,50,7.965621,10.587366300000001,9.711043,13.662425,40.832154,40.832154,102975.55061799231
real_1000,python,1000,50,119.784836,155.13759458,126.420095,293.639784,334.209837,334.209837,7910.134856329604
real_1000,rust,1000,50,8.334329,11.79348494,9.6934065,24.091323,35.926121,35.926121,103162.9076940083
path_1000,python,1000,50,124.586474,178.83572922,143.40346,289.247602,321.34282,321.34282,6973.332442606337
path_1000,rust,1000,50,9.126923,13.254134839999999,11.1675965,23.341602,23.792824,23.792824,89544.78253221273
locale_1000,python,1000,50,114.489507,222.78458818,254.0578205,321.047628,343.741191,343.741191,3936.111858442083
locale_1000,rust,1000,50,11.351534,18.7458394,17.7433445,34.444195,41.777855,41.777855,56359.16047281841
default_10000,python,10000,30,148.644877,272.2281668,290.63153750000004,361.27004,394.933571,394.933571,34407.82815939237
default_10000,rust,10000,30,29.054376,38.164690433333334,36.318779,54.275141,56.866886,56.866886,275339.65280055255
default_50000,python,50000,10,265.361405,333.75161560000004,284.0697815,533.168978,533.168978,533.168978,176013.08993860724
default_50000,rust,50000,10,117.829604,127.0457234,128.67691250000001,137.231243,137.231243,137.231243,388570.0941107053
